sub_id,session_file,L_STRIDE_RATE_median,L_STRIDE_RATE_std,R_STRIDE_RATE_median,R_STRIDE_RATE_std,L_STRIDE_LENGTH_median,L_STRIDE_LENGTH_std,R_STRIDE_LENGTH_median,R_STRIDE_LENGTH_std,L_SWING_TIME_median,L_SWING_TIME_std,R_SWING_TIME_median,R_SWING_TIME_std,L_STANCE_TIME_median,L_STANCE_TIME_std,R_STANCE_TIME_median,R_STANCE_TIME_std,L_ANKLE_DF_PEAK_ANGLE_median,L_ANKLE_DF_PEAK_ANGLE_std,R_ANKLE_DF_PEAK_ANGLE_median,R_ANKLE_DF_PEAK_ANGLE_std,L_ANKLE_EVE_PEAK_ANGLE_median,L_ANKLE_EVE_PEAK_ANGLE_std,R_ANKLE_EVE_PEAK_ANGLE_median,R_ANKLE_EVE_PEAK_ANGLE_std,L_ANKLE_ROT_PEAK_ANGLE_median,L_ANKLE_ROT_PEAK_ANGLE_std,R_ANKLE_ROT_PEAK_ANGLE_median,R_ANKLE_ROT_PEAK_ANGLE_std,L_FOOT_PROG_ANGLE_median,L_FOOT_PROG_ANGLE_std,R_FOOT_PROG_ANGLE_median,R_FOOT_PROG_ANGLE_std,L_FOOT_ANG_at_HS_median,L_FOOT_ANG_at_HS_std,R_FOOT_ANG_at_HS_median,R_FOOT_ANG_at_HS_std,L_VERTICAL_OSCILLATION_median,L_VERTICAL_OSCILLATION_std,R_VERTICAL_OSCILLATION_median,R_VERTICAL_OSCILLATION_std,L_PRONATION_ONSET_median,L_PRONATION_ONSET_std,L_PRONATION_OFFSET_median,L_PRONATION_OFFSET_std,R_PRONATION_ONSET_median,R_PRONATION_ONSET_std,R_PRONATION_OFFSET_median,R_PRONATION_OFFSET_std
102004,20170615T122123.json,81.6326530612245,0.872341680048815,81.6326530612245,0.696365844336606,2.32545048025822,0.0241131201315732,2.32545048025822,0.0196496943850672,0.38,0.00600599647609671,0.375,0.00508783607728936,0.355,0.00576146200581454,0.36,0.00612372435695795,20.2274372123892,0.63451152563009,20.8903908163385,0.801792953192019,-5.48117127524783,1.27784638523593,-11.5808626970328,1.45702597958102,11.9329343960657,0.664697194803539,14.1874421120837,1.05457270300781,2.55337510347119,1.11319105398438,-5.26440486107498,1.50186303483781,23.2446117419853,1.33759555843371,20.3107773145352,1.71016463086152,88.1279564086598,3.78023598663667,96.9834582861556,4.36677770205028,16,2.16033497036234,54,1.72379267524103,13,1.56395860381906,51,6.19848633754341
102004,20170615T125556.json,82.7586206896552,0.850967719275104,82.7586206896552,0.856373047917774,2.44614489051267,0.0251965742806064,2.44614489051267,0.0254119491334008,0.38,0.00490910566224806,0.375,0.00499269183531438,0.345,0.00588793015574974,0.35,0.00572442026250451,20.3713784461742,0.765304678869024,21.2823765945466,0.802415166067172,-5.56592395399287,1.48698443005402,-11.9000832403032,1.35326677721092,11.9617970751444,0.782199396567393,13.5236599020782,1.110448525684,2.95823323344345,1.45989910388664,-5.91812149519523,1.26166490323482,24.18360024538,1.82581668988114,22.1671657691279,2.36896212575799,87.5708674517527,4.62238819708908,95.5276820112083,4.17568314387842,18,2.15952234908853,55,1.92097393138752,15,2.75410268237798,50,4.32580482830506
102005,20170615T111720.json,88.2352941176471,0.795090410346545,88.2352941176471,0.839735103473143,2.13463685268907,0.0193571432861374,2.13463685268907,0.0203710974614894,0.345,0.00427596184319412,0.35,0.00580817869551515,0.335,0.00417995081257163,0.33,0.00461925697639844,25.7752416195442,0.760064396289429,24.5460068778109,0.535944439272649,-8.39198668713645,0.783230928128918,-12.7520969328789,0.956130600726127,-0.885724070882091,6.21156771855944,3.96817499859929,0.847886625970844,-12.6291062591393,1.89649676366815,-4.41057944985092,1.16155628758416,17.5365829889918,2.8654224250375,26.9932470173462,0.773077749296394,67.8441953639759,3.70395410461335,71.1610131713196,2.84621889040334,23,1.52669931905756,58,2.2630601939501,21,1.50819358416748,61,2.68534392350038
102005,20170615T122113.json,84.5070422535211,0.884781555848264,84.5070422535211,0.801503682266747,1.93759743917487,0.0203086327501086,1.93759743917487,0.0184534171851769,0.355,0.00473632274708523,0.355,0.00595041483502292,0.355,0.00543337877736052,0.355,0.00627495019900557,25.5939991942347,0.765136594413672,24.7474012687795,0.656197693374366,-7.29914780816222,0.823255733752781,-11.5045670748453,1.14664410538943,7.2482616300338,0.82757716842543,4.49605978379125,1.79103225695508,-11.9700159322136,1.78122270224515,-4.57742184109669,0.969741444245625,17.6257197071776,2.16880513128064,26.4500206632683,1.09231109783119,74.0261942228139,3.45069123863655,75.278424767048,3.55002207887774,23,1.3737990914475,60,2.43471084554377,21,1.39920119180741,63,2.3930541311333
102005,20170615T124736.json,88.2352941176471,0.753014670665794,88.2352941176471,0.786118141395745,2.27572782266188,0.0192917801071923,2.27572782266188,0.0201471608808368,0.35,0.00478900778084114,0.35,0.00691389340195586,0.33,0.00503002191329017,0.325,0.00571682366608694,25.6183870825349,0.827005123337159,25.3238698084404,0.725794595451885,-8.20870510338811,0.956243591094277,-13.1874094060244,1.10721145086275,7.52673092484775,1.05386542600678,4.05005465903307,1.4869317584092,-12.071564347763,1.7933996909253,-4.03993286832414,1.32267598524177,16.8347084963226,1.74884664550402,27.5562191695163,0.923022511512944,68.0498527941389,4.11784427614354,72.6093257478691,3.4900968218708,25,1.50074030489881,59,2.75807396118977,22,1.84296495014927,62,2.52235469990567
102006,20170618T104044.json,81.6326530612245,1.01848069695944,81.6326530612245,0.94967631532792,2.02147291429926,0.0253764163055195,2.02147291429926,0.0236153107876123,0.365,0.0066559066732639,0.36,0.00604225834030548,0.37,0.00640772510794128,0.37,0.00637940461146675,21.1874144422236,1.1369559356082,23.5236088173942,1.2783853869194,-5.82213026880378,2.21122581763382,-5.6462172979393,1.75471340434338,17.8585532891582,2.13077895408715,13.1393729146404,1.50789328133083,-2.47522664261799,2.0890373888088,0.548712177443557,1.51275985127649,24.6591895052249,3.66579595167386,25.9209024925204,1.91309567155099,89.9209451877699,4.7412394449027,86.9665056811409,5.74704919644135,20,4.85215444702431,50,7.03477755427243,23,3.57487589648369,53,3.23243959914158
102006,20170618T111419.json,82.7586206896552,0.81086182955179,82.7586206896552,0.76391678205648,2.43975689312279,0.0240707357281221,2.43975689312279,0.0227263439846602,0.38,0.00444350590691008,0.38,0.00565857928454834,0.345,0.00633494900905826,0.3475,0.00566363961210112,22.1867436342783,1.75742783769669,23.9307158750441,1.22969293246907,-9.29848783981778,2.11397646417973,-7.4907348030132,1.88130311636239,17.1631436326238,1.90873053142985,12.5942151149139,1.30239163147604,-2.53688792541419,1.61830889156396,-0.255845963978238,1.47057913871991,27.1246820671054,4.45361425354743,28.1404033270364,2.13570845268858,84.4506478039023,5.00023315226555,90.2599791257061,5.65398783714169,21,4.14532412740091,51,8.11050571976267,22,1.6797537261888,54,2.18129881403925
102006,20170618T121731.json,83.0459770114942,0.953829766710425,83.0459770114942,0.895794401206515,2.28236064919462,0.0265953420731939,2.28236064919462,0.0245587958001696,0.375,0.00719622917128925,0.37,0.00544704779401923,0.35,0.00882366946667557,0.355,0.00470561974057161,20.8993952677183,1.257020909939,23.7015934286632,0.567613249427079,-6.68499912959633,2.57836635157845,-5.80511180597321,1.50125483910735,17.533638119764,4.17137659761693,12.0364693396646,1.80833122857545,-2.07839040528473,2.04805666154028,-0.379189372886639,1.65125649937607,25.324563653034,2.70688020153083,27.8467733598547,0.911838941326587,88.2396780261539,2.23640014164233,86.6015144501769,3.51553584556481,22,1.68542556663275,52,3.62909488307066,23,2.68184781304005,55,2.59930957302324
102007,20170618T104611.json,83.3333333333333,0.707676404070033,83.3333333333333,0.760717037284449,2.40588216119493,0.0203227441297333,2.40588216119493,0.0219927840706545,0.375,0.00575886768054497,0.38,0.00564649549653634,0.345,0.00452445344901962,0.34,0.0057941807759335,23.9128932114,1.19293490038814,20.7153338963819,0.709081697399737,-8.6158361539271,1.58430842213241,-7.54065861275386,1.0041806583882,5.17322390308122,1.88573186755781,5.23825210660148,0.792153614160658,-1.72090578954951,2.19297158506366,2.86089663657594,1.44739442660422,23.8661197646255,3.09439775563603,22.6690199528083,1.28528637415583,96.9902308232607,4.93907561328176,88.2266650615557,4.5451649626749,23,3.33074378001381,63,2.41865053663475,23,1.80048946407788,63,1.69543237237156
102007,20170618T114126.json,82.1917808219178,0.761091444894342,82.1917808219178,0.720266009479192,1.99325167612465,0.0185508071229723,1.99325167612465,0.0177392639470801,0.365,0.00615457454896664,0.375,0.00696699081662673,0.365,0.00687982672821611,0.355,0.00710591803683698,25.2470943698282,1.37288529368599,20.7342748921281,1.05362383267063,-7.25436878831654,1.28722502397714,-6.54626599750045,1.27500253653273,4.23230824751004,1.07999077109865,4.70740729515868,0.833370582190783,-2.0169705482843,1.812109370823,2.04540971654389,1.19878251750165,24.6462690548064,2.62122829830695,23.4751747449436,1.14435583501249,97.2919571644214,4.30334231649699,89.8290951365101,4.22232193269996,22,4.2961777031616,65,3.48055824750653,21,2.37327012099206,65,2.07183255080546
